" |text просить устранить недостаток сквер ряд почта"
" |text ржавый забор парк урицкий сторона улица васильченко необходимый восстановить лакокрасочный покрытие ограждение"
" |text парка крыло совет здание туалет вывеска международный обозначение человек вынудить искать ходить куст просьба сделать вывеска крупный шрифт обозначение человечек"
" |text отсутствовать освещение сломать железный декорация сквер аллея любовь освещение местами александровский парка"
" |text озеро расположить парка урицкий появиться неизвестный пленка белый цвет просьба удалить"
" |text парка столяров адмиралтейский слобода прямо возле памятник торчать оголить провод земля бить ток человек случайно задеть дождливый погода искриться пожалуйста просьба принять мера"
" |text разбитый стекло туристический щит нужный замена стекло"
" |text ранний удобный скамейка изогнутый спинка фото поставить вопрос старое скамейка дели вернуть место"
" |text парк красносмейский открытый люк вода накрыть блок"
" |text сквер дом техника фонарный столб недалеко светофорный дерево гореть лампа"
" |text построить новый комплекс тренажер леса мусорка человек бросать мусор земля просить установить урна мусор"
" |text просить организовать сквер парк указанноить место оно пустовать год толк"
" |text повалить дерево парка"
" |text фонтан сквер имя ненастина выломать решетка закрывать коммуникация фонтан темный время сутки мочь получить серьезный травма угодить ям"
" |text отсутствовать деревянный конус устранить"
" |text необходимый произвести замена лампа"
" |text сломаный столбик зеркальный лежать сделать антивандальный крепление"
" |text парка крыло совет работать большой половина декоративный прожектор"
" |text сквер ак чэчэклэр несколько неделя закрытый комната матерь ребенок туда попасть подходить дверь выбегать женщина видимо уборщица начинать весь кричать весь заезжать туда коляска пачкать полый устать мыть вообще это работа решить вопрос"
" |text течь вод топить площадка выгул собака"
" |text минимум фонарь парк озеро харовый неисправный вдоль дорожка близкий дом вдоль дорожка параллельный вахитов восстановить освещение"
" |text ряд военкомат территория забросить зарастать заваливаться мусор просить облагородить территория сделать сквер"
" |text добрый день требоваться восстановить освещение фонарь периметр парк весна весь фонарь исправный"
" |text требоваться разъяснить цель бетонный покрытие расположить газон это дорожка почему упираться забор функциональный применение данный объект необходимый освободить газон бетон"
" |text необходимый ремонт тренажер ограничитель сломать болт ослабленный представлять опасность пользователь"
" |text сломать болт крепление элемент оборудование зафиксировать основа"
" |text невозможно ходить дорога гололед это прочить детский площадка парк"
" |text детский беседка карусель сгореть оставить опасный жизнь здоровье ребенок состояние посреди детский площадка перетянуть лента который защищать проход препятствовать ремонт нужно сделать нормальный ограждение ремонт демонтировать"
" |text парка дубрава относительно недавно сделать скамейка однако скамейка очень быстро заржаветь посидеть весной скамейка получиться ввиду испачкаться сверху потечь ржавчина это скамейка"
" |text убрать пожалуйста гнилой береза дорожка пионерский парка улица разведчик"
" |text необходимый обустроить дополнительный вход выход сквер стамбул середина парк сегодня сквер вход выход самый дальний конец это затруднять доступ сквер особенно родитель маленький ребенок коляска"
" |text гореть иллюминация го мостик канал"
" |text просить заменить горка уменьшение возникновение травматизм ребенок время катание взрослый человек мочь ударить кобчиг либо привести соответствие участок приземление наклон слишком большой"
" |text сквер напротив главный здание кфу светить фонарь нужно заменить перегореть лампа"
" |text сломать качели детский площадка возле фонтан парка горький"
" |text добрый день парка жк изумрудный город многий фонарный столб открытый крышка который провод дать столб фото находиться возле снежный горка гараж вообще крышка навести пожалуйста порядок это вопрос срочно опасаться жизнь свой ребенок"
" |text обещать соединить мост набережная кабан оживить доработать пространство итог пустырь самый центр город возьмуться существо"
" |text памятник благотворитель вырвать гнездо светильник вмонтированный тротуар нибыть следить благоустройство сквер имя галимзянов"
" |text год различный сайт информация данный сквер скоро реконструировать однако год никакой изменение просить сохранить сквер восстановить фонтан устроить детский площадка кстати дом деть поликлиника"
" |text стоянка шишкинский бульвар сломать фонарь лежать день отремонтировать пожалуйста пока плафон целый"
" |text пионер парка сломать фигура медведь отрезать лапа расковырять грудь машенька изуродовать лицо весь это продолжаться год просить принять мера пока поздно ряд висеть камера это муляж просто красота"
" |text парка комсомолец чишный снег дорожка ходить коляска возможно везде лужа трактор приезжать убирать снег"
" |text февраль озеро лесной проходить празднование масленица сжигание чучело мероприятие остаток сгореть чучело убрать прошлое год весь это размокать растаять озеро"
" |text парка около озеро гореть весь фонарь некоторый дорожка темно"
" |text исчезнуть преграждать столбик вход парк ул сыртланов машина мешать проход лужа везде еще машина тротуар занимать пожалуйста ограничить въезд машина парк парк транспорт"
" |text парка горький бетонный дорожка лед нужно посыпать песок"
" |text парк убирать снег чистить тропинка невозможно заниматься скандинавский ходьба бегом"
" |text совершенно чистить дорожка перейти завод электроприбор направление остановка абжалилов нужно преодолеть огромный лужа дорожка весь зима чистить"
" |text просьба урегулировать выгул собака детский площадка парка ходить невозможно везде моча фекалия собака"
" |text очень приятно видеть детский площадка парка прокатиться дать горка фото ребенок очень больно пять точка который скат попадать ударяться зазор модуль который остаться монтаж просьба устранить нарушение пока случиться чп ребенок"
" |text весь дорожка парка покрыть толстой слой лед ходить возможно гулять пожилое ребенок"
" |text лестница тихонька приходить непригодный состояние везде маленькая дыра крупный дыра фото решить проблема весь таки единственный парк город"
" |text центр город парк похожий забросить сквер скудный детский площадка кривая брусчатка поль выгул собака вокруг жила массив ребенок хватать продумать пространство"
" |text почему парк культура отдых чиститься детский площадка подойти лестница спуститься вместо ступенька горка"
" |text парк следить скоро фонарь упасть"
" |text здравствовать почему подрядчик получить разрешение расчистка парк прибрежный куст сухой гнилой дерево вырубать хороший лес коммерческий еще больший объем смотреть природоохранный организация прокуратура"
" |text выход подземный переход логичный вход сквер казахский котел забор вход сторона смотреться полисадник выход арбитражный суд изменить сделать человек пожалуйста"
" |text сломать шлагбаум машина заезжать прямо лес"
" |text гореть светильник уличный освещение пять опор вдоль дорожка парк комсомолец начало прогулочный дорожка пешеходный мост ул танковый очень темно пожалуйста устранить гореть несколько светильник глубина парковый зона вдоль дорожка"
" |text необходимый обслуживающий сеть организация устранить провал подмыв"
" |text карусель сломать весь равно ребенок нея лезть это риск придавить ступня случайно попасть край карусель"
" |text вылететь пружина порваться ткань батут стать опасный ребенок отремонтировать срочно"
" |text отсутствовать табличка указатель"
" |text розетка конец установить думать весь прийти норма спустя время вовсе заглушить"
" |text разбитый стекло информационный стенд просить заменить стекло установить информационный подложка"
" |text разбитый фонарь парка петров возле детский площадка слышный трещать лампа"
" |text ям тротуар возле загс"
" |text невозможно гулять парка ужасный запах канализация просить выявить причина решить проблема"
" |text очень опасный пешеходный переход необходимый срочно восстановить работа светофор"
" |text гулять парка заниматься летом ребенок секция помимо туда любитель бег бегать асфальт асфальт бегать вредный кроссовок просить гулять парка сделать специальный беговой дорожка возможно место"
" |text мбу дирекция парковый сквер год казань бокс разводка электричество вскрыть защитный щиток сорвать высокий напряжение доступ ребенок"
" |text территория парк весь завалить строительный мусор"
" |text территория парк весь завалить строительный мусор"
" |text территория парк весь завалить строительный мусор"
" |text бросить мусорный мешок парка требоваться убрать"
" |text сквер имя габдулла тукать облицовка ограждение мраморный плита частично отсутствовать некоторый плита расколоть наполовину трещина провести обследование сквер устранить нарушение"
" |text сквер напротив старое аэропорт очень грязно полно мусор самостоятельный уборка решать проблема большой просьба время двухмесячник убраться вывезти весь мусор ветка дерево осень год общежитие делать ремонт стройматериал убрать"
" |text проверить законно спилить здоровый дерево"
" |text парка ребята молодец собирать мусор ветка оставить возле елка"
" |text сломать табличка описание пушка гаубица далее отсутствовать табличка описание танк"
" |text краска забор игровой площадка отвалиться"
" |text сетка ворот отсутствовать"
" |text территория парк победа иметься ям лист опасть лист разместить весь территория парк"
" |text единственный парка аметьево детский площадка ужасный состояние весь сломать кома дело детский качели просто"
" |text гореть столб освещение возле мостик переход ул академик королева ул васильченко лесна массив страшно идти сумерки срочно требоваться ремонт лэп"
